Date,Open,High,Low,Close,Adj Close,Volume
3/16/2020,1469.3,1537.7,1469.3,1524.9,1524.9,122
3/17/2020,1537.5,1542,1477.3,1477.3,1477.3,333
3/18/2020,1481.5,1491.6,1471,1478.6,1478.6,262
3/19/2020,1483.5,1484,1483.5,1484.0,1484,14
3/22/2020,1505.3,1567,1490.2,1567.0,1567,51
3/23/2020,1592.7,1685.5,1592.7,1660.2,1660.2,442
3/24/2020,1676.5,1676.5,1631.1,1632.3,1632.3,476
3/25/2020,1660.5,1660.5,1650.1,1650.1,1650.1,3
3/26/2020,1623.9,1623.9,1623.9,1623.9,1623.9,100638
3/29/2020,1641.2,1652.8,1607.2,1622.0,1622,16389
3/30/2020,1618.7,1621,1576,1583.4,1583.4,2874
3/31/2020,1570,1600,1570,1578.2,1578.2,2158
4/1/2020,1590.9,1631.2,1586,1625.7,1625.7,1294
4/2/2020,1624.5,1636,1619.8,1633.7,1633.7,643
4/5/2020,1629.1,1696.7,1625.9,1677.0,1677,1063
4/6/2020,1695.7,1724.4,1658,1664.8,1664.8,1144
4/7/2020,1669.7,1677,1662.5,1665.4,1665.4,747
4/8/2020,1662.7,1736.2,1662.7,1736.2,1736.2,825
4/12/2020,1722,1756.8,1710.7,1744.8,1744.8,696
4/13/2020,1756.8,1775,1739.5,1756.7,1756.7,675
4/14/2020,1739.4,1744.9,1722.7,1727.2,1727.2,642
4/15/2020,1731,1750.6,1715,1720.4,1720.4,162
4/16/2020,1715.7,1725,1684.9,1689.2,1689.2,223
4/19/2020,1686,1701.6,1680,1701.6,1701.6,106
4/20/2020,1697,1707.1,1659.9,1678.2,1678.2,666
4/21/2020,1696,1728.7,1684.8,1728.7,1728.7,453
4/22/2020,1734,1745.1,1733.3,1733.3,1733.3,482
4/23/2020,1744,1744,1714.5,1723.5,1723.5,221
4/26/2020,1731.9,1731.9,1711.9,1711.9,1711.9,169
4/27/2020,1716.6,1716.6,1707.1,1710.5,1710.5,1255
4/28/2020,1710,1713.5,1702,1703.4,1703.4,373
4/29/2020,1719.3,1719.3,1680.8,1684.2,1684.2,327
4/30/2020,1686.6,1701.5,1670.5,1694.5,1694.5,337
5/3/2020,1702.6,1709,1699.6,1706.9,1706.9,320
5/4/2020,1701.5,1704.4,1697.2,1704.4,1704.4,82
5/5/2020,1704,1704,1684.2,1684.2,1684.2,469
5/6/2020,1686.2,1721.8,1685.6,1721.8,1721.8,853
5/7/2020,1726.2,1728.9,1703.8,1709.9,1709.9,330
5/10/2020,1702.3,1704.5,1690.2,1695.3,1695.3,749
5/11/2020,1699.3,1713.1,1699.3,1704.4,1704.4,324
5/12/2020,1702,1721.3,1701.9,1713.9,1713.9,431
5/13/2020,1724.3,1743.1,1720.5,1738.1,1738.1,672
5/14/2020,1739.7,1753.4,1739.7,1753.4,1753.4,719
5/17/2020,1755.7,1770.5,1731.8,1731.8,1731.8,229
5/18/2020,1744.2,1749.5,1744.2,1744.2,1744.2,167
5/19/2020,1751.6,1752.1,1745.6,1750.6,1750.6,16
5/20/2020,1746.8,1746.8,1720.5,1720.5,1720.5,528
5/21/2020,1726.6,1734.6,1726.6,1734.6,1734.6,6
5/25/2020,1726.4,1726.4,1704.8,1704.8,1704.8,39
5/26/2020,1685.6,1710.3,1685.6,1710.3,1710.3,137416
5/27/2020,1709.3,1727.8,1705,1713.3,1713.3,23355
5/28/2020,1718.8,1738.3,1715.1,1736.9,1736.9,1526
5/31/2020,1740.4,1747,1727.1,1737.8,1737.8,871
6/1/2020,1743,1745.5,1721.8,1725.2,1725.2,741
6/2/2020,1726.3,1726.3,1684.5,1697.8,1697.8,2755
6/3/2020,1694.5,1718.9,1694.5,1718.9,1718.9,807
6/4/2020,1711.8,1711.8,1668.6,1676.2,1676.2,1502
6/7/2020,1679.1,1699.4,1675.9,1698.3,1698.3,587
6/8/2020,1694.6,1720.9,1692,1714.7,1714.7,690
6/9/2020,1716.1,1740.8,1711.9,1713.3,1713.3,718
6/10/2020,1737.2,1744.1,1720,1732.0,1732,347
6/11/2020,1724.9,1743,1724.9,1729.3,1729.3,318
6/14/2020,1730,1730,1703.3,1720.3,1720.3,188
6/15/2020,1726.3,1729.6,1722.4,1729.6,1729.6,22
6/16/2020,1714.7,1729.2,1714.7,1729.2,1729.2,51
6/17/2020,1730.5,1734.1,1717.3,1724.8,1724.8,110
6/18/2020,1723.7,1750.7,1723.5,1745.9,1745.9,1329
6/21/2020,1755.2,1767.6,1750.5,1756.7,1756.7,1356
6/22/2020,1755.4,1776.3,1754.2,1772.1,1772.1,666
6/23/2020,1778.3,1783.1,1764.5,1765.8,1765.8,961
6/24/2020,1761.7,1764.8,1759.8,1762.1,1762.1,207
6/25/2020,1766,1772.5,1764.7,1772.5,1772.5,640
6/28/2020,1779.8,1780.2,1774.3,1774.8,1774.8,584
6/29/2020,1777.3,1793.2,1774.4,1793.0,1793,986
6/30/2020,1793.6,1798,1765.8,1773.2,1773.2,331
7/1/2020,1773.4,1784,1768.7,1784.0,1784,215
7/5/2020,1788.2,1790.1,1788.2,1788.5,1788.5,172
7/6/2020,1789.3,1804.2,1783.3,1804.2,1804.2,751
7/7/2020,1801.5,1817.9,1801.5,1815.5,1815.5,209
7/8/2020,1816.1,1819.8,1799.2,1799.2,1799.2,396
7/9/2020,1805.5,1805.5,1797.7,1798.2,1798.2,236
7/12/2020,1805,1811,1805,1811.0,1811,164
7/13/2020,1791,1811.5,1791,1810.6,1810.6,339
7/14/2020,1806.1,1813.5,1806.1,1811.4,1811.4,167
7/15/2020,1810.9,1810.9,1794.3,1798.7,1798.7,146
7/16/2020,1798.5,1810.1,1798.5,1808.3,1808.3,24
7/19/2020,1807,1817.3,1807,1815.9,1815.9,89
7/20/2020,1822,1842.4,1822,1842.4,1842.4,117
7/21/2020,1858.1,1867,1854.7,1864.1,1864.1,213
7/22/2020,1868.7,1890.3,1868.5,1889.1,1889.1,133
7/23/2020,1884.3,1897.3,1884.3,1897.3,1897.3,474
7/26/2020,1901.7,1938,1901.5,1931.0,1931,364
7/27/2020,1931.5,1944.7,1928.6,1944.7,1944.7,825
7/28/2020,1953.2,1953.5,1952.6,1953.5,1953.5,209835
7/29/2020,1963.4,1965.1,1930,1942.3,1942.3,28853
7/30/2020,1948.6,1981.1,1948,1962.8,1962.8,2914
8/2/2020,1984.3,1984.3,1955.5,1966.0,1966,683
8/3/2020,1971,2016.2,1968.8,2001.2,2001.2,2010
8/4/2020,2024,2050.2,2011,2031.1,2031.1,1422
8/5/2020,2045.5,2063,2040,2051.5,2051.5,294
8/6/2020,2040.1,2055,2009.6,2010.1,2010.1,808
8/9/2020,2026.4,2043.8,2017.5,2024.4,2024.4,233
8/10/2020,2012.4,2016,1904,1932.6,1932.6,971
8/11/2020,1923,1946.6,1871.6,1934.9,1934.9,404
8/12/2020,1921.5,1957.4,1916.9,1956.7,1956.7,71
8/13/2020,1938.7,1947.4,1937,1937.0,1937,201
8/16/2020,1949.6,1985,1949.6,1985.0,1985,97
8/17/2020,2001.1,2002.8,1972.1,1999.4,1999.4,92
8/18/2020,1980,1980,1938.7,1958.7,1958.7,347
8/19/2020,1941.2,1948.3,1922.3,1933.8,1933.8,106
8/20/2020,1941,1945,1908.9,1934.6,1934.6,184
8/23/2020,1930.2,1940,1922.2,1927.7,1927.7,85
8/24/2020,1927.5,1928.5,1911.8,1911.8,1911.8,176
8/25/2020,1909.7,1950.8,1909.7,1940.7,1940.7,287
8/26/2020,1948.9,1972.5,1921.6,1921.6,1921.6,2303
8/27/2020,1927.1,1971.3,1922.5,1964.6,1964.6,778
8/30/2020,1970,1971.3,1953.3,1967.6,1967.6,158
8/31/2020,1961.7,1986.3,1961.7,1968.2,1968.2,186
9/1/2020,1967.3,1967.3,1934.4,1934.4,1934.4,71
9/2/2020,1937.1,1938.8,1923,1927.6,1927.6,179
9/3/2020,1927.9,1939.7,1917.7,1923.9,1923.9,607
9/7/2020,1930.9,1937.9,1903.1,1933.0,1933,271
9/8/2020,1926.9,1946.2,1924.6,1944.7,1944.7,219
9/9/2020,1944.1,1962.7,1944.1,1954.2,1954.2,722
9/10/2020,1944,1949.5,1937.8,1937.8,1937.8,73
9/13/2020,1946.3,1953.1,1943,1953.1,1953.1,55
9/14/2020,1955.8,1968.5,1955.8,1956.3,1956.3,74
9/15/2020,1961.3,1961.4,1956.7,1960.2,1960.2,124
9/16/2020,1939,1946,1933.7,1940.0,1940,67
9/17/2020,1950.5,1952.1,1949,1952.1,1952.1,38
9/20/2020,1946.2,1946.2,1883.4,1901.2,1901.2,52
9/21/2020,1913.1,1913.1,1898.6,1898.6,1898.6,331
9/22/2020,1875.5,1875.5,1859.9,1859.9,1859.9,5
9/23/2020,1851.5,1868.3,1851.5,1868.3,1868.3,365
9/24/2020,1856.3,1857.7,1856.3,1857.7,1857.7,4
9/27/2020,1872.8,1872.8,1872.8,1872.8,1872.8,10455
9/28/2020,1876.5,1895.4,1872.4,1894.3,1894.3,3283
9/29/2020,1893,1899.7,1879.8,1887.5,1887.5,600
9/30/2020,1884.1,1909.6,1882.5,1908.4,1908.4,730
10/1/2020,1893.9,1913,1893.9,1900.2,1900.2,530
10/4/2020,1898.9,1915.6,1884.7,1912.5,1912.5,1360
10/5/2020,1906.6,1918,1874.4,1901.1,1901.1,968
10/6/2020,1874.1,1889.8,1873.1,1883.6,1883.6,50
10/7/2020,1893,1893,1882.7,1888.6,1888.6,348
10/8/2020,1909.3,1929.1,1905.1,1919.5,1919.5,580
10/11/2020,1924,1926.5,1921.6,1922.5,1922.5,96
10/12/2020,1921.9,1922.2,1887,1888.5,1888.5,191
10/13/2020,1889.7,1910.8,1882.5,1901.3,1901.3,33
10/14/2020,1897.3,1906.3,1889.6,1903.2,1903.2,254
10/15/2020,1898.5,1900.8,1898.5,1900.8,1900.8,53
10/18/2020,1907.3,1907.8,1899.5,1906.4,1906.4,43
10/19/2020,1901.3,1910.4,1896.1,1910.4,1910.4,329
10/20/2020,1913.6,1927.3,1913.6,1924.6,1924.6,1202
10/21/2020,1924.3,1924.3,1898.2,1901.1,1901.1,899
10/22/2020,1899.9,1913.3,1896.2,1902.0,1902,287
